Timestamp,Age,Gender ,Educational level,Occupation Status,Monthly Income/ Allowance,Quality Satisfaction,Quality Trust,Counterfeit Concern,Quality vs Competitors,Packaging Clarity,Attractive Benefits,Price Influence,Price Sensitivity,Premium Price Willing,Ad Positive Impression,Ad Recognition,Ad Perception Influence
2026/09/14 12:36:41 PM GMT+1,17,Male,Undergraduate,Student,"Below â_x0082_¦50,000",2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree,2 Disagree,3 Neither Agree nor Disagree
2026/09/14 3:02:25 PM GMT+1,22,Male,Postgraduate,Student,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",3 Neither Agree nor Disagree,4 Agree,2 Disagree,2 Disagree,4 Agree,2 Disagree,4 Agree,4 Agree,2 Disagree,4 Agree,4 Agree,4 Agree
2026/09/14 3:09:49 PM GMT+1,20,Female,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,4 Agree,2 Disagree,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree
2026/09/14 5:16:43 PM GMT+1,17,Male,Undergraduate,Employed,"Below â_x0082_¦50,000",4 Agree,5 Strongly Agree,1 Strongly Disagree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree
2026/09/14 5:19:31 PM GMT+1,22,Female,Undergraduate,Employed,"â_x0082_¦100,000â_x0080__x0093_â_x0082_¦199,999",5 Strongly Agree,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,4 Agree
2026/09/14 6:02:06 PM GMT+1,45,Female,Graduate,Self-employed,"â_x0082_¦300,000 and above",4 Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,1 Strongly Disagree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree
2026/09/14 6:34:42 PM GMT+1,23,Male,Undergraduate,Student,Prefer not to say,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree
2026/09/14 6:50:39 PM GMT+1,22,Male,Undergraduate,Student,Prefer not to say,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,3 Neither Agree nor Disagree
2026/09/14 7:47:42 PM GMT+1,19,Female,Undergraduate,Student,Prefer not to say,5 Strongly Agree,4 Agree,4 Agree,4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,2 Disagree,1 Strongly Disagree,3 Neither Agree nor Disagree,4 Agree,3 Neither Agree nor Disagree,4 Agree
2026/09/14 8:17:07 PM GMT+1,20,Female,Undergraduate,Student,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree
2026/09/14 9:47:45 PM GMT+1,20,Female,Undergraduate,Unemployed,"Below â_x0082_¦50,000",4 Agree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,4 Agree,2 Disagree,4 Agree,4 Agree,4 Agree
2026/09/15 5:20:57 AM GMT+1,22,Female,Undergraduate,Student,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,4 Agree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,4 Agree,1 Strongly Disagree,4 Agree
2026/09/15 6:04:35 AM GMT+1,20,Male,Undergraduate,Student,Prefer not to say,5 Strongly Agree,4 Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,3 Neither Agree nor Disagree,4 Agree,4 Agree,4 Agree
2026/09/15 9:50:06 AM GMT+1,27,Male,Undergraduate,Student,"Below â_x0082_¦50,000",4 Agree,2 Disagree,4 Agree,2 Disagree,4 Agree,1 Strongly Disagree,2 Disagree,2 Disagree,3 Neither Agree nor Disagree,5 Strongly Agree,4 Agree,5 Strongly Agree
2026/09/15 9:53:40 AM GMT+1,24,Male,Undergraduate,Employed,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,1 Strongly Disagree,5 Strongly Agree,1 Strongly Disagree,5 Strongly Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree
2026/09/15 9:58:13 AM GMT+1,21,Female,Undergraduate,Self-employed,"â_x0082_¦50,000â_x0080__x0093_â_x0082_¦99,999",1 Strongly Disagree,2 Disagree,4 Agree,1 Strongly Disagree,5 Strongly Agree,2 Disagree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,5 Strongly Agree,5 Strongly Agree
2026/09/15 10:15:17 AM GMT+1,19,Male,Undergraduate,Student,"â_x0082_¦100,000â_x0080__x0093_â_x0082_¦199,999",5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,4 Agree,5 Strongly Agree
